date,race_id,strategy,bet_type,umaban,horse,odds_at_bet,odds_final,ev_at_bet,ev_final,confidence,finish,stake,payout,virtual,retro,feature_ver
20260712,202602011001,S1,win,8,アジーザム,179.4,179.4,2.212,2.212,0.879,10,100,0.0,1,1,1
20260712,202602011001,S1,win,11,ホウオウワイズ,13.6,13.6,1.255,1.255,0.879,11,100,0.0,1,1,1
20260712,202602011001,S1,win,12,サンライズロイ,9.3,9.3,1.049,1.049,0.879,3,100,0.0,1,1,1
20260712,202602011001,S1C,win,8,アジーザム,179.4,179.4,2.212,2.212,0.879,10,100,0.0,1,1,1
20260712,202602011001,S1C,win,11,ホウオウワイズ,13.6,13.6,1.255,1.255,0.879,11,100,0.0,1,1,1
20260712,202602011001,S2,win,6,スイーヴル,2.0,2.0,0.661,0.661,0.879,2,100,0.0,1,1,1
20260712,202602011001,V1,place,6,スイーヴル,,,,,0.879,2,100,110.0,1,1,1
20260712,202602011001,V2,place,6,スイーヴル,,,,,0.879,2,100,110.0,1,1,1
20260712,202602011001,V3,wide,4-6,ビタミンドロップ×スイーヴル,,,,,0.879,1/2,100,180.0,1,1,1
20260712,202602011002,S1,win,1,フィエスタ,16.7,16.7,1.107,1.107,0.857,7,100,0.0,1,1,1
20260712,202602011002,S1,win,8,アルケミラモリス,7.0,7.0,1.194,1.194,0.857,6,100,0.0,1,1,1
20260712,202602011002,S1C,win,1,フィエスタ,16.7,16.7,1.107,1.107,0.857,7,100,0.0,1,1,1
20260712,202602011002,S1C,win,8,アルケミラモリス,7.0,7.0,1.194,1.194,0.857,6,100,0.0,1,1,1
20260712,202602011002,S2,win,9,エアヴァイブス,2.9,2.9,0.508,0.508,0.857,5,100,0.0,1,1,1
20260712,202602011002,S5C,win,8,アルケミラモリス,7.0,7.0,1.194,1.194,0.857,6,100,0.0,1,1,1
20260712,202602011002,V1,place,9,エアヴァイブス,,,,,0.857,5,100,0.0,1,1,1
20260712,202602011002,V3,wide,7-9,ベネディクション×エアヴァイブス,,,,,0.857,1/5,100,0.0,1,1,1
20260712,202602011003,S1C,win,4,ジャストアダッシュ,23.0,23.0,0.927,0.927,0.867,10,100,0.0,1,1,1
20260712,202602011003,S1C,win,10,ホウオウロレンシア,6.4,6.4,0.949,0.949,0.867,12,100,0.0,1,1,1
20260712,202602011003,S2,win,12,ビンバラ,1.5,1.5,0.818,0.818,0.867,1,100,150.0,1,1,1
20260712,202602011003,V1,place,12,ビンバラ,,,,,0.867,1,100,110.0,1,1,1
20260712,202602011003,V2,place,12,ビンバラ,,,,,0.867,1,100,110.0,1,1,1
20260712,202602011003,V3,wide,10-12,ホウオウロレンシア×ビンバラ,,,,,0.867,12/1,100,0.0,1,1,1
20260712,202602011004,S1,win,15,ハルノアメ,6.2,6.2,1.044,1.044,0.862,9,100,0.0,1,1,1
20260712,202602011004,S1C,win,11,アグアフレスカ,26.6,26.6,0.895,0.895,0.862,6,100,0.0,1,1,1
20260712,202602011004,S1C,win,15,ハルノアメ,6.2,6.2,1.044,1.044,0.862,9,100,0.0,1,1,1
20260712,202602011004,S2,win,13,ヴィラジョヴィス,2.4,2.4,0.683,0.683,0.862,14,100,0.0,1,1,1
20260712,202602011004,V1,place,13,ヴィラジョヴィス,,,,,0.862,14,100,0.0,1,1,1
20260712,202602011004,V2,place,13,ヴィラジョヴィス,,,,,0.862,14,100,0.0,1,1,1
20260712,202602011004,V3,wide,4-13,タケルフォーカス×ヴィラジョヴィス,,,,,0.862,1/14,100,0.0,1,1,1
20260712,202602011005,S1,win,7,アルデシンザン,3.6,3.6,1.01,1.01,0.548,9,100,0.0,1,1,1
20260712,202602011005,S1C,win,7,アルデシンザン,3.6,3.6,1.01,1.01,0.548,9,100,0.0,1,1,1
20260712,202602011005,S2,win,7,アルデシンザン,3.6,3.6,1.01,1.01,0.548,9,100,0.0,1,1,1
20260712,202602011005,V1,place,7,アルデシンザン,,,,,0.548,9,100,0.0,1,1,1
20260712,202602011006,S1,win,2,サトノフレイ,3.5,3.5,1.106,1.106,0.873,2,100,0.0,1,1,1
20260712,202602011006,S1C,win,2,サトノフレイ,3.5,3.5,1.106,1.106,0.873,2,100,0.0,1,1,1
20260712,202602011006,S2,win,14,ルージュフィーリア,1.9,1.9,0.672,0.672,0.873,4,100,0.0,1,1,1
20260712,202602011006,V1,place,14,ルージュフィーリア,,,,,0.873,4,100,0.0,1,1,1
20260712,202602011006,V2,place,14,ルージュフィーリア,,,,,0.873,4,100,0.0,1,1,1
20260712,202602011006,V3,wide,2-14,サトノフレイ×ルージュフィーリア,,,,,0.873,2/4,100,0.0,1,1,1
20260712,202602011007,S1,win,3,ウィンターガーデン,111.1,111.1,2.009,2.009,0.877,4,100,0.0,1,1,1
20260712,202602011007,S1,win,6,サウンドルーチェ,34.7,34.7,2.443,2.443,0.877,5,100,0.0,1,1,1
20260712,202602011007,S1C,win,3,ウィンターガーデン,111.1,111.1,2.009,2.009,0.877,4,100,0.0,1,1,1
20260712,202602011007,S1C,win,6,サウンドルーチェ,34.7,34.7,2.443,2.443,0.877,5,100,0.0,1,1,1
20260712,202602011007,S2,win,9,ヒミノエトワール,2.9,2.9,0.618,0.618,0.877,1,100,290.0,1,1,1
20260712,202602011007,V1,place,9,ヒミノエトワール,,,,,0.877,1,100,160.0,1,1,1
20260712,202602011007,V3,wide,2-9,デルマサクラサク×ヒミノエトワール,,,,,0.877,2/1,100,250.0,1,1,1
20260712,202602011008,S1,win,1,ブレイクザアイス,20.0,20.0,1.031,1.031,0.875,7,100,0.0,1,1,1
20260712,202602011008,S1,win,3,シドニーホバート,28.1,28.1,1.33,1.33,0.875,9,100,0.0,1,1,1
20260712,202602011008,S1,win,7,ステイアンビシャス,17.5,17.5,1.381,1.381,0.875,4,100,0.0,1,1,1
